name,url,cap_hit,cap_hit_pct,base_salary,signing_bonus,contract_start_year,contract_years_signed,contract_years_left,free_agent_year,salary_signed,status_after_contract,age,birthday,experience,country,college,drafted,team_name
Michael McCarron,https://www.spotrac.com/nhl/player/_/id/13411,900000,1.02,900000,-,2024,2,2,2026,1800000,UFA,29-204d,Mar 07 1995,4 Years,,,Round 1 (#25 overall) 2013,Nashville Predators
Spencer Stastney,https://www.spotrac.com/nhl/player/_/id/27202,825000,0.94,825000,-,2024,2,2,2026,1650000,RFA,24-265d,Jan 04 2000,,US,USA U-18,Round 5 (#131 overall) 2018,Nashville Predators
Mark Jankowski,https://www.spotrac.com/nhl/player/_/id/10768,800000,0.91,775000,-,2024,2,2,2026,1600000,UFA,30-14d,Sep 13 1994,4 Years,CA,Providence,Round 1 (#21 overall) 2012,Nashville Predators
Luke Evangelista,https://www.spotrac.com/nhl/player/_/id/62903,797500,0.91,775000,-,2022,3,1,2025,2775000,RFA,22-216d,Feb 21 2002,,CA,,Round 2 (#42 overall) 2020,Nashville Predators
Juuso Parssinen,https://www.spotrac.com/nhl/player/_/id/31834,775000,0.88,775000,-,2024,1,1,2025,775000,RFA,23-236d,Feb 01 2001,,FI,TPS,Round 7 (#210 overall) 2019,Nashville Predators
Dougie Hamilton,https://www.spotrac.com/nhl/player/_/id/11655,9000000,10.23,10000000,2600000,2021,7,4,2028,63000000,UFA,31-102d,Jun 17 1993,10 Years,CA,Niagara,Round 1 (#9 overall) 2011,New Jersey Devils
Timo Meier,https://www.spotrac.com/nhl/player/_/id/17978,8800000,10.00,5350000,5750000,2023,8,7,2031,70400000,UFA,27-353d,Oct 08 1996,6 Years,CH,Halifax,Round 1 (#9 overall) 2015,New Jersey Devils
Jack Hughes,https://www.spotrac.com/nhl/player/_/id/31625,8000000,9.09,8500000,-,2022,8,6,2030,64000000,UFA,23-134d,May 14 2001,3 Years,US,USA U-18,Round 1 (#1 overall) 2019,New Jersey Devils
Jesper Bratt,https://www.spotrac.com/nhl/player/_/id/20449,7875000,8.95,4000000,5000000,2023,8,7,2031,63000000,UFA,26-58d,Jul 30 1998,5 Years,SE,AIK,Round 6 (#162 overall) 2016,New Jersey Devils
Nico Hischier,https://www.spotrac.com/nhl/player/_/id/23680,7250000,8.24,7750000,-,2020,7,3,2027,50570000,UFA,25-265d,Jan 04 1999,5 Years,CH,Halifax,Round 1 (#1 overall) 2017,New Jersey Devils
Ondrej Palat,https://www.spotrac.com/nhl/player/_/id/8463,6000000,6.82,1770000,3180000,2022,5,3,2027,30000000,UFA,33-184d,Mar 28 1991,10 Years,CZ,Drummondville,Round 7 (#208 overall) 2011,New Jersey Devils
Brett Pesce,https://www.spotrac.com/nhl/player/_/id/16545,5500000,6.25,2000000,5000000,2024,6,6,2030,33000000,UFA,29-316d,Nov 15 1994,8 Years,US,New Hampshire,Round 3 (#66 overall) 2013,New Jersey Devils
Jacob Markstrom,https://www.spotrac.com/nhl/player/_/id/6833,4125000,4.69,3500000,2500000,2020,6,2,2026,36000000,UFA,34-240d,Jan 31 1990,13 Years,SE,Brynas,Round 2 (#31 overall) 2008,New Jersey Devils
Brenden Dillon,https://www.spotrac.com/nhl/player/_/id/11661,4000000,4.55,3000000,2000000,2024,3,3,2027,12000000,UFA,33-319d,Nov 13 1990,11 Years,CA,Seattle,Undrafted DAL 2011,New Jersey Devils
Jonas Siegenthaler,https://www.spotrac.com/nhl/player/_/id/20162,3400000,3.86,4000000,-,2023,5,4,2028,17000000,UFA,27-143d,May 06 1997,4 Years,CH,Zurich,Round 2 (#57 overall) 2015,New Jersey Devils
Erik Haula,https://www.spotrac.com/nhl/player/_/id/12229,3150000,3.58,2150000,1000000,2023,3,2,2026,9450000,UFA,33-189d,Mar 23 1991,9 Years,FI,Minnesota,Round 7 (#181 overall) 2009,New Jersey Devils
Stefan Noesen,https://www.spotrac.com/nhl/player/_/id/8563,2750000,3.13,1750000,1000000,2024,3,3,2027,8250000,UFA,31-227d,Feb 12 1993,9 Years,US,Plymouth,Round 1 (#21 overall) 2011,New Jersey Devils
Jake Allen,https://www.spotrac.com/nhl/player/_/id/11937,3850000,4.38,2300000,1000000,2023,2,1,2025,7700000,UFA,34-52d,Aug 07 1990,9 Years,CA,Montreal,Round 2 (#34 overall) 2008,New Jersey Devils
Tomas Tatar,https://www.spotrac.com/nhl/player/_/id/7140,1800000,2.05,1800000,-,2024,1,1,2025,1800000,UFA,33-302d,Nov 30 1990,12 Years,SK,Zvolen,Round 2 (#60 overall) 2009,New Jersey Devils
Nathan Bastian,https://www.spotrac.com/nhl/player/_/id/20326,1350000,1.53,1350000,-,2023,2,1,2025,2700000,UFA,26-294d,Dec 06 1997,3 Years,CA,Mississauga,Round 2 (#41 overall) 2016,New Jersey Devils
Kurtis Macdermid,https://www.spotrac.com/nhl/player/_/id/11274,1150000,1.31,1000000,250000,2024,3,3,2027,3450000,UFA,30-186d,Mar 25 1994,6 Years,CA,Erie,Undrafted LAK 2012,New Jersey Devils
Curtis Lazar,https://www.spotrac.com/nhl/player/_/id/13558,1000000,1.14,1000000,-,2022,3,1,2025,3000000,UFA,29-237d,Feb 02 1995,8 Years,CA,Edmonton,Round 1 (#17 overall) 2013,New Jersey Devils
Luke Hughes,https://www.spotrac.com/nhl/player/_/id/73757,925000,1.05,832500,92500,2022,3,1,2025,5550000,RFA,21-16d,Sep 09 2003,,US,USA U-18,Round 1 (#4 overall) 2021,New Jersey Devils
Simon Nemec,https://www.spotrac.com/nhl/player/_/id/78312,918333,1.04,855000,95000,2023,3,2,2026,12600000,RFA,20-222d,Feb 15 2004,,SK,,Round 1 (#2 overall) 2022,New Jersey Devils
Paul Cotter,https://www.spotrac.com/nhl/player/_/id/27185,775000,0.88,775000,-,2023,3,2,2026,2325000,RFA,24-314d,Nov 16 1999,1 Years,US,Lincoln,Round 4 (#115 overall) 2018,New Jersey Devils
Max Willman,https://www.spotrac.com/nhl/player/_/id/72091,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,29-226d,Feb 13 1995,,US,,Undrafted PHI 2021,New Jersey Devils
Johnathan Kovacevic,https://www.spotrac.com/nhl/player/_/id/23796,766666,0.87,775000,-,2022,3,1,2025,2300000,UFA,27-76d,Jul 12 1997,1 Years,CA,Merrimack,Round 3 (#74 overall) 2017,New Jersey Devils
Mathew Barzal,https://www.spotrac.com/nhl/player/_/id/18208,9150000,10.40,9150000,-,2023,8,7,2031,73200000,UFA,27-123d,May 26 1997,6 Years,CA,Seattle,Round 1 (#16 overall) 2015,New York Islanders
Bo Horvat,https://www.spotrac.com/nhl/player/_/id/13476,8500000,9.66,8500000,-,2023,8,7,2031,68000000,UFA,29-175d,Apr 05 1995,8 Years,CA,London,Round 1 (#9 overall) 2013,New York Islanders
Ilya Sorokin,https://www.spotrac.com/nhl/player/_/id/48849,8250000,9.38,8250000,-,2024,8,8,2032,66000000,UFA,29-54d,Aug 04 1995,2 Years,RU,,Round 3 (#78 overall) 2014,New York Islanders
Anders Lee,https://www.spotrac.com/nhl/player/_/id/12180,7000000,7.95,5850000,-,2019,7,2,2026,49000000,UFA,34-87d,Jul 03 1990,10 Years,US,Notre Dame,Round 6 (#151 overall) 2009,New York Islanders
Ryan Pulock,https://www.spotrac.com/nhl/player/_/id/13585,6150000,6.99,6150000,-,2022,8,6,2030,49200000,UFA,29-356d,Oct 06 1994,7 Years,CA,Brandon,Round 1 (#15 overall) 2013,New York Islanders
Brock Nelson,https://www.spotrac.com/nhl/player/_/id/9379,6000000,6.82,4000000,-,2019,6,1,2025,36000000,UFA,32-348d,Oct 15 1991,9 Years,US,North Dakota,Round 1 (#30 overall) 2010,New York Islanders
Adam Pelech,https://www.spotrac.com/nhl/player/_/id/17917,5750000,6.53,5750000,-,2021,8,5,2029,46000000,UFA,30-42d,Aug 16 1994,7 Years,CA,Erie,Round 3 (#65 overall) 2012,New York Islanders
Kyle Palmieri,https://www.spotrac.com/nhl/player/_/id/11654,5000000,5.68,5000000,-,2021,4,1,2025,20000000,UFA,33-239d,Feb 01 1991,12 Years,US,Notre Dame,Round 1 (#26 overall) 2009,New York Islanders
Jean-Gabriel Pageau,https://www.spotrac.com/nhl/player/_/id/10725,5000000,5.68,4000000,-,2020,6,2,2026,30000000,UFA,31-320d,Nov 11 1992,10 Years,CA,Gatineau,Round 4 (#95 overall) 2011,New York Islanders
Noah Dobson,https://www.spotrac.com/nhl/player/_/id/27051,4000000,4.55,4000000,-,2022,3,1,2025,12000000,RFA,24-262d,Jan 07 2000,3 Years,CA,Acadie-Bathurst,Round 1 (#12 overall) 2018,New York Islanders
Anthony Duclair,https://www.spotrac.com/nhl/player/_/id/13797,3500000,3.98,3500000,-,2024,4,4,2028,14000000,UFA,29-32d,Aug 26 1995,8 Years,CA,Quebec,Round 3 (#80 overall) 2013,New York Islanders
Scott Mayfield,https://www.spotrac.com/nhl/player/_/id/12211,3500000,3.98,3500000,-,2023,7,6,2030,24500000,UFA,31-348d,Oct 14 1992,8 Years,US,Denver,Round 2 (#34 overall) 2011,New York Islanders
Pierre Engvall,https://www.spotrac.com/nhl/player/_/id/25953,3000000,3.41,3000000,-,2023,7,6,2030,21000000,UFA,28-118d,May 31 1996,3 Years,SE,HV71 Jonkoping,Round 7 (#188 overall) 2014,New York Islanders
Semyon Varlamov,https://www.spotrac.com/nhl/player/_/id/6248,2750000,3.13,2750000,-,2023,4,3,2027,11000000,UFA,36-155d,Apr 26 1988,14 Years,RU,Yaroslavl,Round 1 (#23 overall) 2006,New York Islanders
Casey Cizikas,https://www.spotrac.com/nhl/player/_/id/10623,2500000,2.84,2500000,-,2021,6,3,2027,15000000,UFA,33-213d,Feb 27 1991,11 Years,CA,St. Michael's,Round 4 (#92 overall) 2009,New York Islanders
Alexander Romanov,https://www.spotrac.com/nhl/player/_/id/27107,2500000,2.84,2500000,-,2022,3,1,2025,7500000,RFA,24-263d,Jan 06 2000,2 Years,RU,Russia U-18,Round 2 (#38 overall) 2018,New York Islanders
Mike Reilly,https://www.spotrac.com/nhl/player/_/id/17955,1250000,1.42,1250000,-,2024,1,1,2025,1250000,UFA,31-76d,Jul 13 1993,7 Years,US,Minnesota,Round 4 (#97 overall) 2011,New York Islanders
Oliver Wahlstrom,https://www.spotrac.com/nhl/player/_/id/27050,1000000,1.14,1000000,-,2024,1,1,2025,1000000,UFA,24-104d,Jun 13 2000,2 Years,US,USA U-18,Round 1 (#11 overall) 2018,New York Islanders
Simon Holmstrom,https://www.spotrac.com/nhl/player/_/id/31646,850000,0.97,850000,-,2024,1,1,2025,850000,RFA,23-124d,May 24 2001,,SE,HV 71,Round 1 (#23 overall) 2019,New York Islanders
Samuel Bolduc,https://www.spotrac.com/nhl/player/_/id/31681,800000,0.91,800000,-,2023,2,1,2025,1600000,RFA,23-290d,Dec 09 2000,,CA,Blainville-Boisbrian,Round 2 (#57 overall) 2019,New York Islanders
Hudson Fasching,https://www.spotrac.com/nhl/player/_/id/18860,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,29-61d,Jul 28 1995,5 Years,US,Minnesota,Round 4 (#118 overall) 2013,New York Islanders
Kyle MacLean,https://www.spotrac.com/nhl/player/_/id/83302,775000,0.88,775000,-,2024,3,3,2027,2325000,UFA,25-150d,Apr 29 1999,,US,,Undrafted NYI 2023,New York Islanders
Artemi Panarin,https://www.spotrac.com/nhl/player/_/id/17517,11642857,13.23,1000000,9000000,2019,7,2,2026,81500000,UFA,32-333d,Oct 30 1991,7 Years,RU,St. Petersburg,Undrafted CHI 2015,New York Rangers
Adam Fox,https://www.spotrac.com/nhl/player/_/id/20351,9500000,10.80,12000000,-,2022,7,5,2029,66500000,UFA,26-221d,Feb 17 1998,3 Years,US,USA U-18,Round 2 (#66 overall) 2016,New York Rangers
Mika Zibanejad,https://www.spotrac.com/nhl/player/_/id/8254,8500000,9.66,1000000,9500000,2022,8,6,2030,68000000,UFA,31-162d,Apr 18 1993,11 Years,SE,Djurgarden,Round 1 (#6 overall) 2011,New York Rangers
Jacob Trouba,https://www.spotrac.com/nhl/player/_/id/10756,8000000,9.09,6000000,-,2019,7,2,2026,56000000,UFA,30-213d,Feb 26 1994,9 Years,US,Michigan,Round 1 (#9 overall) 2012,New York Rangers
Chris Kreider,https://www.spotrac.com/nhl/player/_/id/9372,6500000,7.39,5000000,-,2020,7,3,2027,45500000,UFA,33-151d,Apr 30 1991,10 Years,US,Boston College,Round 1 (#19 overall) 2009,New York Rangers
Igor Shesterkin,https://www.spotrac.com/nhl/player/_/id/29734,5666667,6.44,6666667,-,2021,4,1,2025,22666667,UFA,28-271d,Dec 30 1995,3 Years,RU,,Round 4 (#118 overall) 2014,New York Rangers
Vincent Trocheck,https://www.spotrac.com/nhl/player/_/id/10602,5625000,6.39,3375000,3000000,2022,7,5,2029,39375000,UFA,31-78d,Jul 11 1993,9 Years,US,Saginaw,Round 3 (#64 overall) 2011,New York Rangers
Ryan Lindgren,https://www.spotrac.com/nhl/player/_/id/20334,4500000,5.11,4000000,500000,2024,1,1,2025,4500000,UFA,26-227d,Feb 11 1998,4 Years,US,USA U-18,Round 2 (#49 overall) 2016,New York Rangers
Filip Chytil,https://www.spotrac.com/nhl/player/_/id/23700,4437500,5.04,4625000,-,2023,4,3,2027,17750000,UFA,25-21d,Sep 05 1999,5 Years,CZ,Zlin,Round 1 (#21 overall) 2017,New York Rangers
K'Andre Miller,https://www.spotrac.com/nhl/player/_/id/27085,3872000,4.40,4646000,-,2023,2,1,2025,7744000,RFA,24-248d,Jan 21 2000,2 Years,US,USA U-18,Round 1 (#22 overall) 2018,New York Rangers
Reilly Smith,https://www.spotrac.com/nhl/player/_/id/9374,5000000,5.68,4000000,-,2022,3,1,2025,15000000,UFA,33-181d,Mar 31 1991,11 Years,CA,Miami (OH),Round 3 (#69 overall) 2009,New York Rangers
Kaapo Kakko,https://www.spotrac.com/nhl/player/_/id/31626,2400000,2.73,2400000,-,2024,1,1,2025,2400000,RFA,23-224d,Feb 13 2001,3 Years,FI,TPS,Round 1 (#2 overall) 2019,New York Rangers
Alexis Lafrenière,https://www.spotrac.com/nhl/player/_/id/62858,2325000,2.64,2650000,-,2023,2,1,2025,4650000,RFA,22-349d,Oct 11 2001,2 Years,CA,,Round 1 (#1 overall) 2020,New York Rangers
Braden Schneider,https://www.spotrac.com/nhl/player/_/id/62876,2200000,2.50,1635000,125000,2024,2,2,2026,4400000,RFA,22-4d,Sep 21 2001,1 Years,CA,,Round 1 (#19 overall) 2020,New York Rangers
Jonathan Quick,https://www.spotrac.com/nhl/player/_/id/6216,1275000,1.45,775000,500000,2024,1,1,2025,1300000,UFA,38-252d,Jan 20 1986,15 Years,US,Massachusetts,Round 3 (#72 overall) 2005,New York Rangers
Sam Carrick,https://www.spotrac.com/nhl/player/_/id/9304,1000000,1.14,900000,100000,2024,3,3,2027,3000000,UFA,32-236d,Feb 04 1992,7 Years,CA,Brampton,Round 5 (#144 overall) 2010,New York Rangers
Adam Edstrom,https://www.spotrac.com/nhl/player/_/id/31785,846667,0.96,775000,80000,2022,3,1,2025,2540000,RFA,23-348d,Oct 12 2000,,SE,Mora,Round 6 (#161 overall) 2019,New York Rangers
Will Cuylle,https://www.spotrac.com/nhl/player/_/id/62921,828333,0.94,775000,-,2022,3,1,2025,2775000,RFA,22-146d,May 02 2002,,CA,,Round 2 (#60 overall) 2020,New York Rangers
Matthew Rempe,https://www.spotrac.com/nhl/player/_/id/63027,820000,0.93,775000,-,2022,3,1,2025,2515000,RFA,22-88d,Jun 29 2002,,CA,,Round 6 (#165 overall) 2020,New York Rangers
Zachary Jones,https://www.spotrac.com/nhl/player/_/id/31692,812500,0.92,825000,-,2023,2,1,2025,1625000,RFA,23-342d,Oct 18 2000,2 Years,US,Tri-City,Round 3 (#68 overall) 2019,New York Rangers
Jimmy Vesey,https://www.spotrac.com/nhl/player/_/id/20981,800000,0.91,800000,-,2023,2,1,2025,1600000,UFA,31-124d,May 26 1993,6 Years,US,Harvard,Undrafted NYR 2016,New York Rangers
Jonny Brodzinski,https://www.spotrac.com/nhl/player/_/id/16638,787500,0.89,775000,-,2024,2,2,2026,1575000,UFA,31-100d,Jun 19 1993,,US,St. Cloud State,Round 5 (#148 overall) 2013,New York Rangers
Chad Ruhwedel,https://www.spotrac.com/nhl/player/_/id/12233,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,34-144d,May 07 1990,10 Years,US,Massachusetts,Undrafted PIT 2013,New York Rangers
Tim Stützle,https://www.spotrac.com/nhl/player/_/id/62860,8350000,9.49,6500000,-,2023,8,7,2031,66800000,UFA,22-253d,Jan 15 2002,2 Years,DE,,Round 1 (#3 overall) 2020,Ottawa Senators
Brady Tkachuk,https://www.spotrac.com/nhl/player/_/id/27040,8205714,9.32,10500000,-,2021,7,4,2028,57500000,UFA,25-10d,Sep 16 1999,4 Years,US,Boston,Round 1 (#4 overall) 2018,Ottawa Senators
Jake Sanderson,https://www.spotrac.com/nhl/player/_/id/62862,8050000,9.15,8050000,-,2024,8,8,2032,64000000,UFA,22-79d,Jul 08 2002,,US,,Round 1 (#5 overall) 2020,Ottawa Senators
Thomas Chabot,https://www.spotrac.com/nhl/player/_/id/18267,8000000,9.09,10000000,-,2020,8,4,2028,64000000,UFA,27-239d,Jan 30 1997,6 Years,CA,Saint John,Round 1 (#18 overall) 2015,Ottawa Senators
Josh Norris,https://www.spotrac.com/nhl/player/_/id/23698,7950000,9.03,9500000,-,2022,8,6,2030,63600000,UFA,25-144d,May 05 1999,2 Years,US,USA U-18,Round 1 (#19 overall) 2017,Ottawa Senators
Claude Giroux,https://www.spotrac.com/nhl/player/_/id/6228,6500000,7.39,5500000,-,2022,3,1,2025,19500000,UFA,36-260d,Jan 12 1988,15 Years,CA,Gatineau,Round 1 (#22 overall) 2006,Ottawa Senators
Linus Ullmark,https://www.spotrac.com/nhl/player/_/id/15283,5000000,5.68,3500000,1000000,2021,4,1,2025,20000000,UFA,31-58d,Jul 31 1993,8 Years,SE,MODO,Round 6 (#163 overall) 2012,Ottawa Senators
Drake Batherson,https://www.spotrac.com/nhl/player/_/id/24515,4975000,5.65,5400000,-,2021,6,3,2027,29850000,UFA,26-152d,Apr 27 1998,4 Years,US,Cape Breton,Round 4 (#121 overall) 2017,Ottawa Senators
Artem Zub,https://www.spotrac.com/nhl/player/_/id/48255,4600000,5.23,4800000,-,2023,4,3,2027,18400000,UFA,28-359d,Oct 03 1995,2 Years,RU,,Undrafted OTT 2020,Ottawa Senators
Nick Jensen,https://www.spotrac.com/nhl/player/_/id/13062,4050000,4.60,2150000,2000000,2023,3,2,2026,12150000,UFA,33-7d,Sep 21 1990,6 Years,US,St. Cloud State,Round 5 (#149 overall) 2009,Ottawa Senators
David Perron,https://www.spotrac.com/nhl/player/_/id/2082,4000000,4.55,4000000,-,2024,2,2,2026,8000000,UFA,36-126d,May 25 1988,16 Years,CA,Lewiston,Round 1 (#26 overall) 2007,Ottawa Senators
Shane Pinto,https://www.spotrac.com/nhl/player/_/id/31656,3750000,4.26,2500000,-,2024,2,2,2026,7500000,RFA,23-317d,Nov 12 2000,2 Years,US,Tri-City,Round 2 (#32 overall) 2019,Ottawa Senators
Anton Forsberg,https://www.spotrac.com/nhl/player/_/id/13213,2750000,3.13,2750000,-,2022,3,1,2025,8250000,UFA,31-304d,Nov 27 1992,7 Years,SE,,Round 7 (#187 overall) 2011,Ottawa Senators
Michael Amadio,https://www.spotrac.com/nhl/player/_/id/18832,2600000,2.95,2500000,-,2024,3,3,2027,7800000,UFA,28-136d,May 13 1996,5 Years,CA,,,Ottawa Senators
Travis Hamonic,https://www.spotrac.com/nhl/player/_/id/6843,1100000,1.25,1100000,-,2023,2,1,2025,2200000,UFA,34-44d,Aug 15 1990,12 Years,CA,Moose Jaw,Round 2 (#53 overall) 2008,Ottawa Senators
Tyler Kleven,https://www.spotrac.com/nhl/player/_/id/62905,916667,1.04,832500,-,2022,3,1,2025,3375000,RFA,22-258d,Jan 10 2002,,US,,Round 2 (#44 overall) 2020,Ottawa Senators
Ridly Greig,https://www.spotrac.com/nhl/player/_/id/62885,863333,0.98,832500,-,2022,3,1,2025,2775000,RFA,22-48d,Aug 08 2002,,CA,,Round 1 (#28 overall) 2020,Ottawa Senators
Noah Gregor,https://www.spotrac.com/nhl/player/_/id/20398,850000,0.97,850000,-,2024,1,1,2025,850000,UFA,26-241d,Jan 28 1998,3 Years,CA,Moose Jaw,Round 4 (#111 overall) 2016,Ottawa Senators
Jacob Bernard-Docker,https://www.spotrac.com/nhl/player/_/id/27089,805000,0.91,825000,-,2023,2,1,2025,1610000,RFA,24-87d,Jun 30 2000,,CA,Okotoks,Round 1 (#26 overall) 2018,Ottawa Senators
Nick Cousins,https://www.spotrac.com/nhl/player/_/id/9293,800000,0.91,800000,-,2024,1,1,2025,800000,UFA,31-69d,Jul 20 1993,8 Years,CA,Sault Ste. Marie,Round 3 (#68 overall) 2011,Ottawa Senators
Angus Crookshank,https://www.spotrac.com/nhl/player/_/id/27197,775000,0.88,775000,-,2024,1,1,2025,775000,RFA,24-359d,Oct 02 1999,,CA,Langley,Round 5 (#126 overall) 2018,Ottawa Senators
Zack MacEwen,https://www.spotrac.com/nhl/player/_/id/21582,775000,0.88,775000,-,2023,3,2,2026,2325000,UFA,28-80d,Jul 08 1996,4 Years,CA,Moncton,Undrafted VAN 2017,Ottawa Senators
Sean Couturier,https://www.spotrac.com/nhl/player/_/id/8412,7750000,8.81,4000000,5000000,2022,8,6,2030,62000000,UFA,31-295d,Dec 06 1992,11 Years,US,Drummondville,Round 1 (#8 overall) 2011,Philadelphia Flyers
Ryan Ellis,https://www.spotrac.com/nhl/player/_/id/10721,6250000,7.10,6500000,-,2019,8,3,2027,50000000,UFA,33-268d,Jan 03 1991,12 Years,CA,Windsor,Round 1 (#11 overall) 2009,Philadelphia Flyers
Travis Sanheim,https://www.spotrac.com/nhl/player/_/id/15891,6250000,7.10,5125000,3000000,2023,8,7,2031,50000000,UFA,28-181d,Mar 29 1996,5 Years,CA,Calgary,Round 1 (#17 overall) 2014,Philadelphia Flyers
Owen Tippett,https://www.spotrac.com/nhl/player/_/id/23689,6200000,7.05,1000000,5000000,2024,8,8,2032,49600000,UFA,25-222d,Feb 16 1999,3 Years,CA,Mississauga,Round 1 (#10 overall) 2017,Philadelphia Flyers
Travis Konecny,https://www.spotrac.com/nhl/player/_/id/18007,5500000,6.25,4000000,3000000,2025,8,9,2033,70000000,UFA,27-199d,Mar 11 1997,6 Years,CA,Ottawa,Round 1 (#24 overall) 2015,Philadelphia Flyers
Rasmus Ristolainen,https://www.spotrac.com/nhl/player/_/id/13410,5100000,5.80,6500000,-,2022,5,3,2027,25500000,UFA,29-304d,Nov 27 1994,9 Years,FI,TPS,Round 1 (#8 overall) 2013,Philadelphia Flyers
Joel Farabee,https://www.spotrac.com/nhl/player/_/id/27053,5000000,5.68,3000000,2000000,2022,6,4,2028,30000000,UFA,24-213d,Feb 25 2000,3 Years,US,USA U-18,Round 1 (#14 overall) 2018,Philadelphia Flyers
Ivan Fedotov,https://www.spotrac.com/nhl/player/_/id/77596,3250000,3.69,775000,2500000,2024,2,2,2026,6550000,RFA,27-302d,Nov 28 1996,,RU,,Undrafted PHI 2022,Philadelphia Flyers
Scott Laughton,https://www.spotrac.com/nhl/player/_/id/10767,3000000,3.41,3625000,-,2021,5,2,2026,15000000,UFA,30-120d,May 30 1994,9 Years,,,Round 1 (#20 overall) 2012,Philadelphia Flyers
Nick Seeler,https://www.spotrac.com/nhl/player/_/id/18872,2700000,3.07,1200000,1500000,2024,4,4,2028,10800000,UFA,31-116d,Jun 03 1993,4 Years,US,Nebraska-Omaha,Round 5 (#130 overall) 2011,Philadelphia Flyers
Noah Cates,https://www.spotrac.com/nhl/player/_/id/76279,2625000,2.98,2625000,-,2023,2,1,2025,5250000,RFA,25-233d,Feb 05 1999,1 Years,US,,Round 5 (#137 overall) 2017,Philadelphia Flyers
Garnet Hathaway,https://www.spotrac.com/nhl/player/_/id/17586,2375000,2.70,2050000,-,2025,2,3,2027,4800000,UFA,32-309d,Nov 23 1991,7 Years,,Brown,Undrafted CGY 2015,Philadelphia Flyers
Jamie Drysdale,https://www.spotrac.com/nhl/player/_/id/62863,2300000,2.61,2300000,-,2023,3,2,2026,6900000,RFA,22-170d,Apr 08 2002,3 Years,CA,,Round 1 (#6 overall) 2020,Philadelphia Flyers
Morgan Frost,https://www.spotrac.com/nhl/player/_/id/23706,2100000,2.39,2400000,-,2023,2,1,2025,420000,RFA,25-135d,May 14 1999,3 Years,CA,Sault Ste. Marie,Round 1 (#27 overall) 2017,Philadelphia Flyers
Ryan Poehling,https://www.spotrac.com/nhl/player/_/id/23704,1900000,2.16,1900000,-,2024,2,2,2026,3800000,UFA,25-266d,Jan 03 1999,3 Years,US,St. Cloud State,Round 1 (#25 overall) 2017,Philadelphia Flyers
Nicolas Deslauriers,https://www.spotrac.com/nhl/player/_/id/13088,1750000,1.99,1500000,-,2022,4,2,2026,7000000,UFA,33-218d,Feb 22 1991,9 Years,CA,Rouyn-Noranda,Round 3 (#84 overall) 2009,Philadelphia Flyers
Yegor Zamula,https://www.spotrac.com/nhl/player/_/id/28049,1700000,1.93,1000000,500000,2024,2,2,2026,3400000,RFA,24-179d,Mar 30 2000,,RU,,Undrafted PHI 2018,Philadelphia Flyers
Cameron York,https://www.spotrac.com/nhl/player/_/id/31638,1600000,1.82,1600000,-,2023,2,1,2025,3200000,RFA,23-263d,Jan 05 2001,2 Years,US,USA U-18,Round 1 (#14 overall) 2019,Philadelphia Flyers
Bobby Brink,https://www.spotrac.com/nhl/player/_/id/31658,1500000,1.70,1250000,250000,2024,2,2,2026,3000000,RFA,23-79d,Jul 08 2001,,US,Sioux City Musketeers,Round 2 (#34 overall) 2019,Philadelphia Flyers
Samuel Ersson,https://www.spotrac.com/nhl/player/_/id/27214,1450000,1.65,1000000,300000,2024,2,2,2026,2900000,RFA,24-341d,Oct 20 1999,,SE,Brynas,Round 5 (#143 overall) 2018,Philadelphia Flyers
Erik Johnson,https://www.spotrac.com/nhl/player/_/id/2089,1000000,1.14,1000000,-,2024,1,1,2025,1000000,UFA,36-191d,Mar 21 1988,15 Years,US,Minnesota,Round 1 (#1 overall) 2006,Philadelphia Flyers
Matvei Michkov,https://www.spotrac.com/nhl/player/_/id/84495,950000,1.08,855000,95000,2024,3,3,2027,12750000,RFA,19-289d,Dec 09 2004,,RU,,Round 1 (#7 overall) 2023,Philadelphia Flyers
Tyson Foerster,https://www.spotrac.com/nhl/player/_/id/62880,863333,0.98,832500,-,2022,3,1,2025,2775000,RFA,22-250d,Jan 18 2002,,CA,,Round 1 (#23 overall) 2020,Philadelphia Flyers
Erik Karlsson,https://www.spotrac.com/nhl/player/_/id/6396,11500000,13.07,10000000,1000000,2019,8,3,2027,92000000,UFA,34-121d,May 30 1990,13 Years,SE,Frolunda,Round 1 (#15 overall) 2008,Pittsburgh Penguins
Sidney Crosby,https://www.spotrac.com/nhl/player/_/id/2018,8700000,9.89,3000000,-,2025,2,3,2027,17400000,UFA,37-53d,Aug 07 1987,17 Years,CA,Rimouski,Round 1 (#1 overall) 2005,Pittsburgh Penguins
Kris Letang,https://www.spotrac.com/nhl/player/_/id/2035,6100000,6.93,6200000,-,2022,6,4,2028,36600000,UFA,37-158d,Apr 24 1987,16 Years,CA,Val-d'Or,Round 3 (#62 overall) 2005,Pittsburgh Penguins
Evgeni Malkin,https://www.spotrac.com/nhl/player/_/id/2024,6100000,6.93,5600000,-,2022,4,2,2026,24400000,UFA,38-60d,Jul 31 1986,16 Years,RU,Magnitogorsk,Round 1 (#2 overall) 2004,Pittsburgh Penguins
